"timestamp.fromStart","current","voltage","groups.0.current","groups.1.current"
2955,0,5.15,0,1
3706,0,5.15,0,1
4615,0,5.14,0,1
5515,0,5.15,0,1
6655,0,5.15,0,1
7544,0,5.15,0,1
8672,0,5.14,0,1
9577,0,5.14,0,1
10712,0,5.15,0,1
11614,0,5.15,0,1
12517,0,5.14,0,1
13652,0,5.15,0,1
14553,0,5.15,0,1
15685,0,5.14,0,1
16572,0,5.14,0,1
17710,0,5.15,0,1
18606,0,5.15,0,1
19551,0,5.14,0,1
20628,0,5.15,0,1
21554,0,5.15,0,1
22655,0,5.14,0,1
23605,0,5.14,0,1
24686,0,5.15,0,1
25600,0,5.15,0,1
26546,0,5.15,0,1
27651,0,5.15,0,1
28565,0,5.15,0,1
29654,0,5.15,0,1
30596,0,5.14,0,1
31712,0,5.15,0,1
32622,0,5.15,0,1
33516,0,5.14,0,1
34631,0,5.15,0,1
35565,0,5.15,0,1
36653,0,5.15,0,1
37602,0,5.15,0,1
38687,0,5.15,0,1
39596,0,5.14,0,1
40705,0,5.15,0,1
41663,0,5.15,0,1
42550,0,5.15,0,1
43696,0,5.15,0,1
44589,0,5.15,0,1
45703,0,5.15,0,1
46603,0,5.15,0,1
47704,0,5.15,0,1
48622,0,5.15,0,1
49564,0,5.15,0,1
50670,0,5.14,0,1
51565,0,5.15,0,1
52680,0,5.15,0,1
53625,0,5.14,0,1
54708,0,5.15,0,1
55640,0,5.15,0,1
56540,0,5.15,0,1
57677,0,5.15,0,1
58582,0,5.15,0,1
59703,0,5.15,0,1
60603,0,5.14,0,1
61698,0,5.15,0,1
62643,0,5.15,0,1
63728,0,5.15,0,1
64640,0,5.15,0,1
65591,0,5.15,0,1
66667,0,5.15,0,1
67614,0,5.15,0,1
68693,0,5.15,0,1
69610,0,5.15,0,1
70731,0,5.14,0,1
71638,0,5.15,0,1
72554,0,5.15,0,1
73686,0,5.15,0,1
74580,0,5.14,0,1
75689,0,5.15,0,1
76607,0,5.15,0,1
77729,0,5.15,0,1
78637,0,5.15,0,1
79779,0,5.15,0,1
80670,0,5.14,0,1
81577,0,5.15,0,1
82709,0,5.15,0,1
83611,0,5.15,0,1
84725,0,5.15,0,1
85630,0,5.14,0,1
86766,0,5.15,0,1
87666,0,5.15,0,1
88578,0,5.14,0,1
89714,0,5.15,0,1
90606,0,5.15,0,1
91749,0,5.14,0,1
92657,0,5.15,0,1
93784,0,5.15,0,1
94721,0,5.14,0,1
95793,0,5.15,0,1
96682,0,5.15,0,1
97624,0,5.15,0,1
98735,0,5.15,0,1
99636,0,5.15,0,1
100733,0,5.15,0,1
101676,0,5.15,0,1
102788,0,5.14,0,1
103688,0,5.15,0,1
104595,0,5.14,0,1
105728,0,5.15,0,1
106628,0,5.14,0,1
107729,0,5.15,0,1
108656,0,5.15,0,1
109757,0,5.15,0,1
110695,0,5.15,0,1
111596,0,5.15,0,1
112710,0,5.15,0,1
113618,0,5.15,0,1
114749,0,5.15,0,1
115644,0,5.15,0,1
116776,0,5.15,0,1
117674,0,5.15,0,1
118812,0,5.14,0,1
119726,0,5.15,0,1
120616,0,5.15,0,1
121732,0,5.15,0,1
122682,0,5.15,0,1
123751,0,5.15,0,1
124667,0,5.14,0,1
125791,0,5.15,0,1
126694,0,5.15,0,1
127839,0,5.15,0,1
128722,0,5.15,0,1
129664,0,5.15,0,1
130757,0,5.15,0,1
131662,0,5.15,0,1
132783,0,5.15,0,1
133690,0,5.15,0,1
134839,0,5.15,0,1
135716,0,5.14,0,1
136655,0,5.15,0,1
137746,0,5.15,0,1
138674,0,5.15,0,1
139767,0,5.14,0,1
140712,0,5.15,0,1
141795,0,5.15,0,1
142711,0,5.15,0,1
143652,0,5.14,0,1
144738,0,5.15,0,1
145669,0,5.15,0,1
146763,0,5.14,0,1
